,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
0,api3,86,47.772,302,9917656.0,0,0.0,54.63917,17
1,luffy-inu,1011,21.777,454,2019574.0,0,0.0,572.21803,3
2,baby-doge-coin,790,24.054,166,58388999.0,0,0.0,403.67892,13
3,reflexer-ungovernance-token,1181,20.484,656,793514.0,253779113,0.19,47.5501,4
4,safemoon,155,40.831,68,25501515.0,0,0.0,210.44883,15
5,safemoon-inu,917,22.708,583,6059767.0,0,0.0,5856.06382,1
6,gnosis,148,41.457,146,9132397.0,38909836,16.03,69.42351,16
7,launchpool,1059,21.421,935,257605.0,0,0.0,-21.00381,6
8,ptokens-btc,1404,18.982,366,87.53,0,0.0,43.10767,2
9,tenset,655,25.886,376,947535.0,0,0.0,-1.09605,4
10,media-licensing-token,1020,21.682,789,955440.0,0,0.0,60.75961,2
11,unifty,1658,17.401,774,743847.0,0,0.0,19.04595,3
12,botto,4731,5.204,760,5006933.0,0,0.0,0.0,1
13,mimo-parallel-governance-token,1075,21.25,440,118139.0,53853858,2.01,127.94168,1
14,mimatic,1429,18.785,652,1632109.0,0,0.0,1.21287,6
15,paxos-standard,252,35.049,114,5794024.0,0,0.0,0.2237,20
16,baby-doge-coin,790,24.054,166,58388999.0,0,0.0,403.67892,13
17,illuvium,642,25.992,162,19569305.0,105112,5339.71,77.25822,21
18,kuma-inu,510,28.018,599,18983092.0,0,0.0,5284.80407,2
19,bittorrent-2,194,38.193,67,1252194101.0,0,0.0,14.71617,53
20,renbtc,104,45.843,109,17587674.0,0,0.0,45.05806,14
21,render-token,540,27.578,362,3188897.0,0,0.0,5.28822,16
22,burency,1451,18.691,765,1395222.0,0,0.0,51.94566,6
23,alpha-finance,729,24.884,184,19208524.0,371297538,1.22,22.76898,16
24,alpha-quark-token,789,24.056,510,13139565.0,0,0.0,23.64,5
25,fei-usd,598,26.693,147,38338567.0,101428856,6.12,1.21032,5
26,feisty-doge-nft,2087,15.185,718,5684298.0,0,0.0,492.1544,3
